league,team,division,city,lat,lon,latLonSpecificity
Gulf Coast League,Gulf Coast Nationals,East,"West Palm Beach, Florida",26.758729,-80.116885,stadium
Gulf Coast League,Gulf Coast Orioles,South,"Sarasota, Florida",27.34777778,-82.51722222,stadium
Gulf Coast League,Gulf Coast Phillies,Northwest,"Clearwater, Florida",27.97166667,-82.73166667,stadium
Gulf Coast League,Gulf Coast Phillies West,Northwest,"Clearwater, Florida",27.97166667,-82.73166667,stadium
Gulf Coast League,Gulf Coast Pirates,Northwest,"Bradenton, Florida",27.48333333,-82.58333333,city
Gulf Coast League,Gulf Coast Rays,South,"Port Charlotte, Florida",26.99916667,-82.18166667,stadium
Gulf Coast League,Gulf Coast Red Sox,South,"Fort Myers, Florida",26.54805556,-81.76333333,stadium
Gulf Coast League,Gulf Coast Tigers (East),Northeast,"Lakeland, Florida",28.07472222,-81.95083333,stadium
Gulf Coast League,Gulf Coast Tigers West,Northwest,"Lakeland, Florida",28.07472222,-81.95083333,stadium
Gulf Coast League,Gulf Coast Twins,South,"Fort Myers, Florida",26.53833333,-81.84194444,stadium
Gulf Coast League,Gulf Coast Yankees,Northeast,"Tampa, Florida",27.98027778,-82.50666667,stadium
Gulf Coast League,Gulf Coast Yankees West,Northwest,"Tampa, Florida",27.98027778,-82.50666667,stadium
Pioneer League,Billings Mustangs,North,"Billings, Montana",45.79027778,-108.51111111,stadium
Pioneer League,Grand Junction Rockies,South,"Grand Junction, Colorado",39.076684,-108.550404,stadium
Pioneer League,Great Falls Voyagers,North,"Great Falls, Montana",47.51691944,-111.25946667,stadium
Pioneer League,Helena Brewers,North,"Helena, Montana",46.595805,-112.027031,city
Pioneer League,Idaho Falls Chukars,South,"Idaho Falls, Idaho",43.5,-112.03333333,city
Pioneer League,Missoula Osprey,North,"Missoula, Montana",46.873431,-114.007294,stadium
Pioneer League,Ogden Raptors,South,"Ogden, Utah",41.223779,-111.974845,stadium
Pioneer League,Orem Owlz,South,"Orem, Utah",40.276874,-111.717234,stadium
